fifa_version,short_name,player_positions,overall,pace,shooting,passing,dribbling,defending,physic,club_name,nationality_name
24.0,D. Alaba,"CB, LB",85,79.0,71.0,83.0,80.0,85.0,77.0,Real Madrid,Austria
24.0,R. Varane,CB,85,79.0,49.0,64.0,67.0,86.0,78.0,Manchester United,France
24.0,E. Martínez,GK,85,,,,,,,Aston Villa,Argentina
24.0,A. Rüdiger,CB,85,82.0,54.0,71.0,66.0,84.0,86.0,Real Madrid,Germany
24.0,J. Grealish,"LW, LM",85,76.0,76.0,84.0,88.0,53.0,73.0,Manchester City,England
24.0,H. Çalhanoğlu,"CM, CDM",85,67.0,80.0,86.0,85.0,70.0,66.0,Inter,Turkey
24.0,L. Goretzka,"CM, CDM",85,78.0,81.0,81.0,83.0,80.0,86.0,FC Bayern München,Germany
24.0,Y. Bounou,GK,85,,,,,,,Al Hilal,Morocco
24.0,T. Partey,"CDM, CM",85,68.0,71.0,82.0,80.0,81.0,82.0,Arsenal,Ghana
24.0,D. Berardi,"RW, RM",85,82.0,83.0,81.0,87.0,36.0,72.0,Sassuolo,Italy
24.0,K. Coman,"LM, RM",85,89.0,76.0,79.0,87.0,30.0,62.0,FC Bayern München,France
24.0,G. Di Lorenzo,RB,85,85.0,67.0,75.0,79.0,82.0,82.0,Napoli,Italy
24.0,M. Acuña,"LB, LM",85,75.0,74.0,83.0,83.0,81.0,84.0,Sevilla,Argentina
24.0,A. Tchouaméni,"CDM, CM",84,73.0,69.0,79.0,78.0,81.0,81.0,Real Madrid,France
24.0,I. Bennacer,"CDM, CM, CAM",84,80.0,72.0,81.0,86.0,79.0,78.0,Milan,Algeria
24.0,F. Tomori,CB,84,86.0,40.0,59.0,66.0,86.0,82.0,Milan,England
24.0,M. Diaby,"RM, LM",84,95.0,73.0,75.0,86.0,42.0,59.0,Aston Villa,France
24.0,Gabriel Martinelli,"LW, LM",84,89.0,78.0,76.0,86.0,46.0,72.0,Arsenal,Brazil
24.0,A. Ramsdale,GK,84,,,,,,,Arsenal,England
24.0,R. Kolo Muani,"ST, RM",84,91.0,78.0,73.0,86.0,38.0,67.0,Paris Saint Germain,France
24.0,L. Martínez,CB,84,73.0,59.0,78.0,79.0,85.0,83.0,Manchester United,Argentina
24.0,Bremer,CB,84,80.0,50.0,56.0,65.0,85.0,83.0,Juventus,Brazil
24.0,Bruno Guimarães,"CM, CDM",84,71.0,74.0,81.0,84.0,80.0,81.0,Newcastle United,Brazil
24.0,N. Süle,"CB, RB",84,73.0,51.0,68.0,62.0,85.0,85.0,Borussia Dortmund,Germany
24.0,Rúben Neves,"CDM, CM",84,60.0,75.0,86.0,77.0,76.0,73.0,Al Hilal,Portugal
24.0,Álex Remiro,GK,84,,,,,,,Real Sociedad,Spain
24.0,Gabriel,CB,84,70.0,41.0,62.0,60.0,85.0,82.0,Arsenal,Brazil
24.0,A. Hakimi,"RB, RWB",84,92.0,75.0,80.0,80.0,75.0,78.0,Paris Saint Germain,Morocco
24.0,Kim Min Jae,CB,84,80.0,33.0,58.0,64.0,85.0,84.0,FC Bayern München,Korea Republic
24.0,R. James,"RB, RWB",84,80.0,72.0,83.0,82.0,82.0,81.0,Chelsea,England
24.0,J. Brandt,"CAM, RM, CM",84,71.0,80.0,84.0,86.0,51.0,70.0,Borussia Dortmund,Germany
24.0,P. Højbjerg,"CDM, CM",84,55.0,73.0,78.0,78.0,81.0,82.0,Tottenham Hotspur,Denmark
24.0,J. Maddison,"CAM, RM, CM",84,71.0,81.0,86.0,86.0,54.0,63.0,Tottenham Hotspur,England
24.0,L. Hernández,"CB, LB",84,76.0,54.0,70.0,70.0,84.0,78.0,Paris Saint Germain,France
24.0,Mikel Merino,"CM, CAM, LM",84,72.0,78.0,82.0,82.0,83.0,82.0,Real Sociedad,Spain
24.0,Gabriel Jesus,"ST, RW",84,83.0,82.0,75.0,88.0,40.0,77.0,Arsenal,Brazil
24.0,Raphinha,RW,84,91.0,79.0,78.0,86.0,53.0,73.0,FC Barcelona,Brazil
24.0,F. Chiesa,"LM, LW, RW",84,91.0,82.0,76.0,86.0,53.0,75.0,Juventus,Italy
24.0,L. Díaz,"LW, LM",84,91.0,81.0,75.0,87.0,34.0,74.0,Liverpool,Colombia
24.0,Thiago Silva,CB,84,51.0,54.0,74.0,72.0,87.0,74.0,Chelsea,Brazil
24.0,Y. Sommer,GK,84,,,,,,,Inter,Switzerland
24.0,P. Gulácsi,GK,84,,,,,,,RB Leipzig,Hungary
24.0,K. Walker,RB,84,90.0,63.0,77.0,78.0,79.0,81.0,Manchester City,England
24.0,Thiago,CM,84,61.0,72.0,86.0,89.0,71.0,67.0,Liverpool,Spain
24.0,T. Müller,"CAM, CF, ST",84,59.0,82.0,83.0,79.0,55.0,69.0,FC Bayern München,Germany
24.0,C. Smalling,CB,84,62.0,47.0,58.0,62.0,87.0,82.0,Roma,England
24.0,R. Lukaku,ST,84,80.0,84.0,74.0,77.0,38.0,82.0,Roma,Belgium
24.0,K. Casteels,GK,84,,,,,,,VfL Wolfsburg,Belgium
24.0,Koke,"CDM, CM",84,69.0,72.0,85.0,79.0,79.0,78.0,Atlético Madrid,Spain
24.0,Luis Alberto,CM,84,69.0,77.0,85.0,84.0,62.0,58.0,Lazio,Spain
24.0,K. Koulibaly,CB,84,76.0,48.0,63.0,68.0,84.0,83.0,Al Hilal,Senegal
24.0,M. Depay,"CF, LW, ST",84,82.0,82.0,81.0,85.0,30.0,80.0,Atlético Madrid,Netherlands
24.0,N. Pope,GK,84,,,,,,,Newcastle United,England
24.0,S. Gnabry,"RM, ST, LM",84,81.0,84.0,78.0,84.0,43.0,68.0,FC Bayern München,Germany
24.0,M. Ginter,CB,84,60.0,59.0,71.0,66.0,85.0,80.0,SC Freiburg,Germany
24.0,Y. Carrasco,"LW, LWB",84,88.0,81.0,80.0,85.0,59.0,66.0,Al Shabab,Belgium
24.0,Fabinho,CDM,84,59.0,69.0,78.0,77.0,82.0,82.0,Al Ittihad,Brazil
24.0,A. Rabiot,"CM, LM",84,78.0,76.0,80.0,80.0,82.0,84.0,Juventus,France
24.0,Grimaldo,"LWB, LM",84,87.0,69.0,83.0,84.0,76.0,72.0,Bayer 04 Leverkusen,Spain
24.0,R. De Paul,CM,84,78.0,77.0,83.0,82.0,75.0,83.0,Atlético Madrid,Argentina
24.0,S. Lobotka,"CM, CDM",84,71.0,70.0,81.0,83.0,77.0,75.0,Napoli,Slovakia
24.0,L. Sané,"RM, LM",84,91.0,81.0,80.0,85.0,38.0,68.0,FC Bayern München,Germany
24.0,Marcos Llorente,"RM, CM, RB",84,89.0,78.0,79.0,80.0,78.0,81.0,Atlético Madrid,Spain
24.0,M. Škriniar,CB,84,78.0,41.0,57.0,67.0,86.0,83.0,Paris Saint Germain,Slovakia
24.0,Gavi,"CM, LW",83,76.0,66.0,78.0,85.0,68.0,70.0,FC Barcelona,Spain
24.0,W. Saliba,CB,83,82.0,39.0,69.0,73.0,84.0,82.0,Arsenal,France
24.0,E. Fernández,"CM, CDM",83,73.0,73.0,81.0,80.0,75.0,79.0,Chelsea,Argentina
24.0,A. Davies,"LB, LM",83,95.0,66.0,78.0,84.0,74.0,77.0,FC Bayern München,Canada
24.0,C. Gakpo,"CF, LW",83,85.0,82.0,78.0,84.0,42.0,73.0,Liverpool,Netherlands
24.0,D. Vlahović,ST,83,80.0,85.0,66.0,79.0,29.0,82.0,Juventus,Serbia
24.0,N. Schlotterbeck,CB,83,78.0,58.0,67.0,73.0,85.0,82.0,Borussia Dortmund,Germany
24.0,J. Frimpong,"RWB, RM",83,94.0,56.0,75.0,84.0,74.0,70.0,Bayer 04 Leverkusen,Netherlands
24.0,Dani Olmo,"CAM, CF",83,68.0,76.0,82.0,86.0,50.0,59.0,RB Leipzig,Spain
24.0,S. Botman,CB,83,65.0,37.0,63.0,66.0,84.0,84.0,Newcastle United,Netherlands
24.0,Unai Simón,GK,83,,,,,,,Athletic Club,Spain
24.0,Pau Torres,CB,83,72.0,38.0,68.0,70.0,84.0,81.0,Aston Villa,Spain
24.0,A. Christensen,CB,83,67.0,32.0,68.0,71.0,85.0,76.0,FC Barcelona,Denmark
24.0,J. Giménez,CB,83,71.0,46.0,58.0,61.0,85.0,82.0,Atlético Madrid,Uruguay
24.0,A. Meret,GK,83,,,,,,,Napoli,Italy
24.0,G. Mancini,CB,83,67.0,45.0,54.0,62.0,83.0,86.0,Roma,Italy
24.0,K. Laimer,"CDM, CM",83,80.0,69.0,77.0,78.0,81.0,79.0,FC Bayern München,Austria
24.0,G. Rodríguez,CDM,83,51.0,58.0,72.0,70.0,85.0,80.0,Real Betis,Argentina
24.0,B. Pavard,"CB, RB",83,70.0,62.0,73.0,72.0,85.0,78.0,Inter,France
24.0,A. Zambo Anguissa,"CDM, CM",83,78.0,68.0,72.0,81.0,81.0,86.0,Napoli,Cameroon
24.0,L. Pellegrini,"CAM, CM, CF",83,79.0,76.0,83.0,83.0,74.0,78.0,Roma,Italy
24.0,Palhinha,"CDM, CM",83,62.0,67.0,71.0,76.0,84.0,89.0,Fulham,Portugal
24.0,Oyarzabal,"LM, RM, LW",83,77.0,83.0,80.0,83.0,41.0,62.0,Real Sociedad,Spain
24.0,P. Schick,ST,83,79.0,80.0,71.0,81.0,37.0,76.0,Bayer 04 Leverkusen,Czech Republic
24.0,Sergio Ramos,CB,83,57.0,69.0,73.0,70.0,83.0,76.0,Sevilla,Spain
24.0,H. Lloris,GK,83,,,,,,,Tottenham Hotspur,France
24.0,M. Hummels,CB,83,53.0,58.0,76.0,70.0,86.0,78.0,Borussia Dortmund,Germany
24.0,E. Džeko,ST,83,59.0,84.0,72.0,77.0,45.0,76.0,Fenerbahçe,Bosnia and Herzegovina
24.0,Á. Di María,"CF, RW, RM",83,78.0,78.0,86.0,89.0,48.0,67.0,Benfica,Argentina
24.0,M. Reus,"CAM, CF",83,65.0,83.0,83.0,85.0,53.0,63.0,Borussia Dortmund,Germany
24.0,Jordi Alba,LB,83,84.0,70.0,82.0,81.0,76.0,70.0,Inter Miami,Spain
24.0,Sergio Busquets,CDM,83,37.0,62.0,79.0,79.0,81.0,73.0,Inter Miami,Spain
24.0,C. Eriksen,"CM, CDM",83,59.0,77.0,89.0,81.0,51.0,53.0,Manchester United,Denmark
24.0,A. Lacazette,ST,83,72.0,84.0,77.0,83.0,44.0,77.0,Olympique Lyonnais,France
24.0,W. Ben Yedder,ST,83,80.0,84.0,78.0,87.0,39.0,68.0,Monaco,France
24.0,F. Acerbi,CB,83,60.0,50.0,64.0,64.0,86.0,80.0,Inter,Italy
24.0,Nacho Fernández,"CB, LB, RB",83,75.0,37.0,69.0,71.0,82.0,80.0,Real Madrid,Spain
24.0,Morata,ST,83,82.0,82.0,72.0,79.0,31.0,79.0,Atlético Madrid,Spain
24.0,Sergi Darder,"CM, CDM, CAM",83,81.0,76.0,82.0,83.0,74.0,77.0,Mallorca,Spain
24.0,R. Sterling,"LW, RW, ST",83,85.0,78.0,76.0,85.0,45.0,67.0,Chelsea,England
24.0,W. Orban,CB,83,58.0,36.0,56.0,56.0,85.0,81.0,RB Leipzig,Hungary
24.0,Jorginho,"CDM, CM",83,53.0,67.0,84.0,81.0,74.0,73.0,Arsenal,Italy
24.0,S. Haller,ST,83,62.0,81.0,63.0,76.0,52.0,81.0,Borussia Dortmund,Côte d'Ivoire
24.0,L. Shaw,"LB, CB",83,76.0,57.0,82.0,79.0,81.0,78.0,Manchester United,England
24.0,Gerard Moreno,"ST, RM",83,77.0,85.0,77.0,81.0,46.0,72.0,Villarreal,Spain
24.0,E. Can,"CDM, CB",83,79.0,78.0,77.0,79.0,82.0,87.0,Borussia Dortmund,Germany
24.0,F. Kostić,"LM, LW",83,85.0,76.0,82.0,82.0,70.0,80.0,Juventus,Serbia
24.0,J. Hofmann,"CAM, RM, LM",83,76.0,79.0,83.0,81.0,64.0,73.0,Bayer 04 Leverkusen,Germany
24.0,P. Zieliński,"CM, CAM",83,81.0,77.0,81.0,86.0,71.0,63.0,Napoli,Poland
24.0,A. Romagnoli,CB,83,69.0,40.0,56.0,69.0,85.0,80.0,Lazio,Italy
24.0,M. Brozović,"CDM, CM",83,66.0,74.0,81.0,80.0,80.0,78.0,Al Nassr,Croatia
24.0,Rafa,"CF, RM",83,93.0,77.0,77.0,86.0,50.0,54.0,Benfica,Portugal
24.0,N. Fekir,CAM,83,82.0,81.0,81.0,86.0,39.0,80.0,Real Betis,France
24.0,Marco Asensio,RW,83,81.0,81.0,81.0,83.0,43.0,63.0,Paris Saint Germain,Spain
24.0,Borja Iglesias,ST,83,69.0,84.0,66.0,76.0,40.0,82.0,Real Betis,Spain
24.0,Ronaldo Cabrais,"CAM, RM",83,88.0,77.0,83.0,84.0,35.0,72.0,Palmeiras,Brazil
24.0,E. Camavinga,"CDM, CM, LB",82,79.0,66.0,80.0,82.0,76.0,80.0,Real Madrid,France
24.0,Diogo Costa,GK,82,,,,,,,Porto,Portugal
24.0,Ferran Torres,"LW, RW, ST",82,83.0,79.0,78.0,83.0,35.0,68.0,FC Barcelona,Spain
24.0,J. Gvardiol,"CB, LB",82,78.0,54.0,69.0,74.0,82.0,83.0,Manchester City,Croatia
24.0,D. Núñez,"ST, LW",82,90.0,81.0,71.0,76.0,43.0,85.0,Liverpool,Uruguay
24.0,R. Le Normand,CB,82,62.0,26.0,54.0,59.0,84.0,79.0,Real Sociedad,Spain
24.0,K. Havertz,"CAM, RW, ST",82,78.0,79.0,79.0,83.0,45.0,68.0,Arsenal,Germany
24.0,Nuno Mendes,"LB, LWB",82,89.0,58.0,75.0,80.0,77.0,76.0,Paris Saint Germain,Portugal
24.0,M. Locatelli,"CDM, CM",82,67.0,70.0,80.0,78.0,79.0,80.0,Juventus,Italy
24.0,D. Upamecano,CB,82,83.0,45.0,63.0,72.0,81.0,83.0,FC Bayern München,France
24.0,C. Romero,CB,82,70.0,46.0,59.0,66.0,84.0,80.0,Tottenham Hotspur,Argentina
24.0,J. Sancho,"LW, LM",82,78.0,70.0,80.0,87.0,33.0,47.0,Manchester United,England
24.0,N. Molina,"RB, RWB, RM",82,85.0,67.0,76.0,79.0,78.0,71.0,Atlético Madrid,Argentina
24.0,D. Szoboszlai,CAM,82,83.0,82.0,84.0,82.0,34.0,64.0,Liverpool,Hungary
24.0,O. Kökçü,"CM, CAM",82,72.0,76.0,83.0,80.0,69.0,79.0,Benfica,Turkey
24.0,L. Openda,ST,82,93.0,79.0,68.0,80.0,31.0,78.0,RB Leipzig,Belgium
24.0,F. Dimarco,"LWB, LM, CB",82,79.0,71.0,80.0,79.0,74.0,71.0,Inter,Italy
24.0,R. Bentancur,"CM, CDM",82,70.0,67.0,81.0,83.0,79.0,77.0,Tottenham Hotspur,Uruguay
24.0,N. Mazraoui,RB,82,79.0,66.0,77.0,83.0,77.0,74.0,FC Bayern München,Morocco
24.0,G. Vicario,GK,82,,,,,,,Tottenham Hotspur,Italy
24.0,Pedro Gonçalves,"LW, RW, CM",82,76.0,82.0,81.0,84.0,58.0,66.0,Sporting CP,Portugal
24.0,V. Tsygankov,"RM, CM, CAM",82,85.0,78.0,79.0,81.0,46.0,61.0,Girona,Ukraine
24.0,B. Dia,"ST, LW, CF",82,82.0,81.0,62.0,81.0,27.0,77.0,Salernitana,Senegal
24.0,J. Pickford,GK,82,,,,,,,Everton,England
24.0,Y. Tielemans,"CM, CDM",82,50.0,79.0,85.0,79.0,69.0,69.0,Aston Villa,Belgium
24.0,E. Ünal,ST,82,72.0,84.0,70.0,82.0,40.0,80.0,Getafe,Turkey
24.0,L. Torreira,"CDM, CM",82,76.0,70.0,77.0,80.0,79.0,78.0,Galatasaray,Uruguay
24.0,P. Kimpembe,CB,82,79.0,43.0,68.0,69.0,81.0,86.0,Paris Saint Germain,France
24.0,F. Kessié,"CDM, CM",82,79.0,76.0,74.0,79.0,81.0,87.0,Al Ahli Jeddah,Côte d'Ivoire
24.0,D. Malen,"RM, ST",82,89.0,80.0,73.0,85.0,35.0,73.0,Borussia Dortmund,Netherlands
24.0,A. Mac Allister,"CM, CAM, CDM",82,70.0,79.0,82.0,82.0,70.0,72.0,Liverpool,Argentina
24.0,D. Livaković,GK,82,,,,,,,Fenerbahçe,Croatia
24.0,T. Werner,ST,82,91.0,80.0,70.0,82.0,35.0,69.0,RB Leipzig,Germany
24.0,T. Lemar,"CM, LM",82,82.0,78.0,83.0,86.0,67.0,65.0,Atlético Madrid,France
24.0,Joelinton,"CM, LW",82,78.0,71.0,76.0,82.0,81.0,88.0,Newcastle United,Brazil
24.0,David García,CB,82,59.0,37.0,66.0,65.0,83.0,77.0,Osasuna,Spain
24.0,M. Akanji,CB,82,77.0,48.0,70.0,72.0,83.0,78.0,Manchester City,Switzerland
24.0,Mario Hermoso,CB,82,75.0,49.0,74.0,71.0,82.0,79.0,Atlético Madrid,Spain
24.0,Y. En-Nesyri,ST,82,81.0,82.0,63.0,76.0,36.0,79.0,Sevilla,Morocco
24.0,Joselu,ST,82,63.0,84.0,69.0,74.0,33.0,77.0,Real Madrid,Spain
24.0,O. Giroud,ST,82,43.0,83.0,74.0,74.0,42.0,80.0,Milan,France
24.0,Fernando,"CDM, CB",82,63.0,62.0,74.0,73.0,82.0,81.0,Sevilla,Brazil
24.0,M. Götze,"CAM, CF, LM",82,63.0,75.0,83.0,85.0,55.0,71.0,Eintracht Frankfurt,Germany
24.0,N. Otamendi,CB,82,64.0,57.0,64.0,59.0,83.0,85.0,Benfica,Argentina
24.0,C. Wilson,ST,82,80.0,82.0,67.0,79.0,42.0,76.0,Newcastle United,England
24.0,S. de Vrij,CB,82,64.0,41.0,64.0,69.0,84.0,76.0,Inter,Netherlands
24.0,D. Tadić,"LW, CF, RW",82,64.0,80.0,85.0,83.0,43.0,76.0,Fenerbahçe,Serbia
24.0,A. Lopes,GK,82,,,,,,,Olympique Lyonnais,Portugal
24.0,G. Xhaka,"CM, CDM",82,49.0,74.0,82.0,73.0,75.0,82.0,Bayer 04 Leverkusen,Switzerland
24.0,Roberto Firmino,"CF, ST",82,70.0,77.0,79.0,87.0,58.0,77.0,Al Ahli Jeddah,Brazil
24.0,Iñigo Martínez,CB,82,71.0,56.0,67.0,61.0,82.0,80.0,FC Barcelona,Spain
24.0,S. Savić,CB,82,64.0,35.0,57.0,57.0,85.0,80.0,Atlético Madrid,Montenegro
24.0,Carvajal,RB,82,82.0,54.0,76.0,79.0,77.0,79.0,Real Madrid,Spain
24.0,M. Kovačić,"CM, CDM",82,69.0,69.0,82.0,87.0,71.0,70.0,Manchester City,Croatia
24.0,R. Guerreiro,"LB, LM, CM",82,65.0,78.0,85.0,88.0,76.0,55.0,FC Bayern München,Portugal
24.0,F. Schär,CB,82,54.0,68.0,75.0,73.0,84.0,77.0,Newcastle United,Switzerland
24.0,Otávio,"RM, LM",82,78.0,70.0,81.0,85.0,66.0,74.0,Al Nassr,Portugal
24.0,Gayà,"LB, LWB",82,81.0,61.0,77.0,79.0,78.0,74.0,Valencia,Spain
24.0,M. Flekken,GK,82,,,,,,,Brentford,Netherlands
24.0,V. Grifo,"LM, CF, CAM",82,71.0,80.0,83.0,81.0,40.0,64.0,SC Freiburg,Italy
24.0,R. Andrich,"CDM, CM",82,57.0,76.0,76.0,73.0,81.0,85.0,Bayer 04 Leverkusen,Germany
24.0,João Mário,"RM, LM, CM",82,70.0,79.0,81.0,83.0,69.0,70.0,Benfica,Portugal
24.0,Ricardo Horta,"CAM, CF, RM",82,80.0,83.0,80.0,80.0,43.0,70.0,Sporting Braga,Portugal
24.0,Á. Correa,"ST, RM",82,85.0,84.0,77.0,86.0,50.0,75.0,Atlético Madrid,Argentina
